Access ID,Customer ID,Access Date,Page Visited,Duration on Page
107,54,2024-08-24,Homepage,120
108,54,2024-08-24,Checkout,110
109,55,2024-08-25,Homepage,100
110,55,2024-08-25,Product Page,130
111,1,2024-08-26,Homepage,145
112,1,2024-08-26,Product Page,250
113,2,2024-08-27,Homepage,135
114,2,2024-08-27,Blog,95
115,3,2024-08-28,Product Page,180
116,3,2024-08-28,Checkout,160
117,4,2024-08-29,Homepage,160
118,4,2024-08-29,Contact Us,70
119,5,2024-08-30,Homepage,150
120,5,2024-08-30,Product Page,140
121,6,2024-08-31,Homepage,130
122,6,2024-08-31,Blog,120
123,7,2024-09-01,Product Page,170
124,7,2024-09-01,Checkout,200
125,8,2024-09-02,Homepage,125
126,8,2024-09-02,Contact Us,80
127,9,2024-09-03,Homepage,140
128,9,2024-09-03,Blog,90
129,10,2024-09-04,Product Page,130
130,10,2024-09-04,Checkout,150
131,11,2024-09-05,Homepage,145
132,11,2024-09-05,Blog,110
133,12,2024-09-06,Product Page,160
134,12,2024-09-06,Contact Us,100
135,13,2024-09-07,Homepage,125
136,13,2024-09-07,Product Page,150
137,14,2024-09-08,Homepage,130
138,14,2024-09-08,Blog,140
139,15,2024-09-09,Product Page,175
140,15,2024-09-09,Checkout,90
141,16,2024-09-10,Homepage,150
142,16,2024-09-10,Contact Us,60
143,17,2024-09-11,Homepage,135
144,17,2024-09-11,Product Page,155
145,18,2024-09-12,Homepage,140
146,18,2024-09-12,Blog,100
147,19,2024-09-13,Product Page,160
148,19,2024-09-13,Checkout,80
149,20,2024-09-14,Homepage,150
150,20,2024-09-14,Product Page,120
151,31,2024-09-15,Homepage,125
152,31,2024-09-15,Product Page,150
153,32,2024-09-16,Homepage,140
154,32,2024-09-16,Contact Us,75
155,33,2024-09-17,Homepage,130
156,33,2024-09-17,Blog,95
157,34,2024-09-18,Product Page,180
158,34,2024-09-18,Checkout,160
159,35,2024-09-19,Homepage,140
160,35,2024-09-19,Product Page,170
161,36,2024-09-20,Homepage,135
162,36,2024-09-20,Blog,110
163,37,2024-09-21,Product Page,165
164,37,2024-09-21,Checkout,150
165,38,2024-09-22,Homepage,145
166,38,2024-09-22,Contact Us,80
167,39,2024-09-23,Homepage,150
168,39,2024-09-23,Blog,100
169,40,2024-09-24,Product Page,155
170,40,2024-09-24,Contact Us,90
171,41,2024-09-25,Homepage,160
172,41,2024-09-25,Product Page,175
173,42,2024-09-26,Homepage,120
174,42,2024-09-26,Checkout,130
175,43,2024-09-27,Homepage,135
176,43,2024-09-27,Blog,105
177,44,2024-09-28,Product Page,180
178,44,2024-09-28,Contact Us,70
179,45,2024-09-29,Homepage,150
180,45,2024-09-29,Blog,90
181,46,2024-09-30,Product Page,165
182,46,2024-09-30,Checkout,140
183,47,2024-10-01,Homepage,130
184,47,2024-10-01,Product Page,145
185,48,2024-10-02,Homepage,140
186,48,2024-10-02,Contact Us,60
187,49,2024-10-03,Product Page,155
188,49,2024-10-03,Blog,80
189,50,2024-10-04,Homepage,150
190,50,2024-10-04,Checkout,110
191,1,2024-08-01,Homepage,150
192,1,2024-08-02,Product Page,180
193,2,2024-08-03,Homepage,135
194,2,2024-08-04,Blog,95
195,3,2024-08-05,Product Page,200
196,3,2024-08-06,Checkout,160
197,4,2024-08-07,Homepage,145
198,4,2024-08-08,Contact Us,70
199,5,2024-08-09,Homepage,155
200,5,2024-08-10,Product Page,140
