Sale ID,Product ID,Customer ID,Quantity,Sale Date,Total Price
159,9,109,1,2024-06-12,24.99
160,10,110,2,2024-06-13,14.99
161,11,111,1,2024-06-14,19.99
162,12,112,2,2024-06-15,29.99
163,13,113,1,2024-06-16,19.99
164,14,114,2,2024-06-17,89.99
165,15,115,1,2024-06-18,29.99
166,16,116,1,2024-06-19,499.99
167,17,117,1,2024-06-20,199.99
168,18,118,1,2024-06-21,1999.99
169,19,119,1,2024-06-22,1499.99
170,20,120,4,2024-06-23,14.95
171,21,121,2,2024-06-24,2.99
172,22,122,3,2024-06-25,249.99
173,23,123,1,2024-06-26,499.99
174,24,124,1,2024-06-27,149.99
175,25,125,2,2024-06-28,19.99
176,26,126,1,2024-06-29,69.99
177,27,127,3,2024-06-30,89.99
178,28,128,1,2024-07-01,499.99
179,29,129,2,2024-07-02,34.99
180,30,130,1,2024-07-03,29.99
181,31,131,1,2024-07-04,12.99
182,32,132,2,2024-07-05,15.99
183,33,133,1,2024-07-06,49.99
184,34,134,1,2024-07-07,39.99
185,35,135,2,2024-07-08,29.99
186,36,136,1,2024-07-09,79.99
187,37,137,1,2024-07-10,199.99
188,38,138,2,2024-07-11,149.99
189,39,139,1,2024-07-12,999.99
190,40,140,1,2024-07-13,299.99
191,41,141,3,2024-07-14,0.99
192,42,142,2,2024-07-15,5.99
193,43,143,1,2024-07-16,39.99
194,44,144,1,2024-07-17,89.99
195,45,145,2,2024-07-18,69.99
196,46,146,1,2024-07-19,19.99
197,47,147,1,2024-07-20,29.99
198,48,148,2,2024-07-21,59.99
199,49,149,1,2024-07-22,3.99
200,50,150,2,2024-07-23,39.99
